Tweet,sentiment
"Oh epic work fail. Also KAs still need to be incinerated and doctors suck ",0
"is revising for her exams... is revising das polistishe System Deutschlands ",0
"Very annoyed about this game. I dont think its installing.  ",0
"Jackson's not feeling well...boo to that ",0
"Can't bring my CLEARBOOK !!! ",0
"I just broke up with my boyfriend...... all I want to do is cry... ",0
" I must admit that I would be too fearful walking through there....and then probably upset by what I saw. Well done 2 u!",0
"Still no sex though ",0
"i miss HK, screw swine flu for being such pandemic  i want my disneyland &amp; highways &amp; flea markets... i want HK back!",0
"The past 13 hours have been the most hectic ever  thank God for good friends &lt;3",0
"back home. still sleepy  off to work to make some money today!",0
"crap, im a week out on the geek meet ?  i guess i have been quite distracted the past week, doh ",0
"Chief had to be put down last night! sad, sad night! ",0
"is in a sad mood today..  I hate feeling this way. I have to work tonight, but Im almost done with all the computer work! YAY",0
"Good morning...work today  tired from last night, but it was fun...anyway how is everyone?? I miss u all",0
"I'm up way too early. ",0
"Footy's over, back to work ",0
"going to soccer game, in the rain ",0
"Track meet  im to tired for this mess!",0
"I can't sleep...it's only 3:25 a.m. here right now ",0
"is not having much success with her Garage Sale.     ",0
"ok what i said earlier ain't gonna happen  i was so close! Oh well i guess that's life hahaha",0
"Felt great after Tue and Wed training this week.  Feel crap after tonight though.  My right shoulder is killing me ",0
"I don likey swiney  lolz hahaha WHERE IS EVERYONE?!?!",0
"Sniffling, and lonely. Great, just how I wanted to spend my day with you ",0
"Back to work   boo",0
"OMG RIP GRANDMA....I AM GOING TO MISS YOUUUU SOOO MUCHH OMG! ",0
"Rain, rain go away. You're messing up our yard sale. ",0
"mom and dad out of town............  &lt;3",0
"Had fish curry for lunch today. I am still moaning over the fact that Vesak day falls on a weekday. Hmmph  I got to start my ppt.",0
"Yea I gotta work today  BUT Mom's Birthday Party is Tonight so I'll be Pretty Drunken after lol",0
"i really hate my fake family now! please gimme a little space for my own life ",0
"Loving the M25..   ",0
"I will call the venue to follow up on my email to Port Merch yesterday.  ",0
"went to bed at 4a.m., up at 9a.m. extremely tired and still not finished downloading my music for iTunes  i think i'm off to Sam's Club?",0
"nah.. not yet.. ",0
"No marching today  our band parade is canceled due to bad weather... ",0
"listening to music... its windy outside ",0
" NICK BRAUN'S TWITTER IS BEING BLOCKED!!!!!! I LOVE HIM!!!!!!!!!!!!!!!!!! THIS SUCKS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",0
"Thinks australia is boring ",0
"Today would be the perfect day to be all cuddled up with someone.. Bummer. ",0
"Sun shining in my window, and i am studying  Currently looking at the unification of Germany!",0
"Left dog beds out on patio - rained.  Found 50 eathworms underneath. Collected them &amp; put in flower bed covered lightly with soil. ;-)",0
"aw you gotta help me... I don't know what to do... ",0
"My wittle bunny friend... ",0
"Everybodys at the March of Dimes 5k this morn except me!!   Im stuck working.... Have fun guys!",0
"it's so sad that i can't sleep in past 8:30 on weekends anymore ",0
"i suck at useing my time well ",0
"We certainly do!  Just a pity it hasn't worked ",0
"feels better now that its time to sleep...  nite all",0
"oh my god i have two tests next week ",0
"WTF?!?! Boots have changed my fave king prawn salad  I now have sweet chillie sauce with it and no peppers ",0
"glad to know my family bought tons of gluten food for the birthday party, and I can't eat it. ",0
"will check, I do not know it. it is for a laptop with windows. Tried unebooting, but it fails ",0
"Hope evryone has fun at today. Mollyd has to take care of her grandma so no pawty for her ",0
"is at work ",0
": wish we could post you one!  Actually adoptions are going well,  but short of foster homes able to handle dogs w. 'issues' ",0
"hockey is the biggest bummer. Oh and taking notes in School could be tricky. ",0
"I just dropped my 3rd cup of coffee on the table, &amp; it spilled all over when the cup broke  Had 2 clean up a mess. &amp; i'm 1 cup short n ...",0
"i missed falling in love on radio 1 &gt; and i haven't yet seen it on the music channels  cannot wait to hear it live in June! ",0
"freaking bred &amp; missing someone  &lt;3",0
"booo! can't go to AGM as clashes with Teach First SPLiC Summit ",0
"so tired, i said up till 3  and woke up at 7 ",0
"Dammit! Was doing a blog post and the power went out! The ridgeway and storms don't mix together ",0
"bad news as well - the link doesn't work anymore - they must have taken it down... ",0
"Man it sucks when you want to do something but none of your friends do ",0
"bout to upload Saturdays vid  ...btw it sucks... ",0
"its it though.....  My work bans everything. ",0
"I am wondering why it is so hard for me to sleep these days. I am so exhausted, yet sleep still eludes me.  ",0
"I hate goodbyes. So much ",0
"I wanna go back to sleep but I need to go to the bank so I gotta wait a little longer ",0
"doesn't appreciate the effects of alcohol the next day ",0
"had a short look on the SIGInt 09 schedule (too much social stuff, almost no technical sessions ... ",0
"ermm took it hour ago lol, and nope i aint hung over aint drunk in ages  lol,",0
"is confused????  ",0
"first time here and so far find it to be stunning - am walking in history but... the men are not from Milan so not feeing ",0
"hah lol. oh sounds exciting i have like an hour and a half science test i think, can't wait ",0
"sitting here wondering how my checking acct bal goes down so fast ",0
"I didnt get any tickets in teh mail ",0
"is enjoying a rainy day at home with the family. Soccer games canceled ",0
"We had double the amount of rain we normally get in April. Another wet year here in Toronto ",0
"i need you ",0
"Sprained my ankle.  Can't go to waterpolo ",0
"has the hiccups and they wont go away ",0
"crummy weather ",0
"I wish I lived in America so I could go to Bamboozle.  So many amazing bands in one place!",0
"I think im going to die today. Sounds better than feeling like vomiting. ",0
"Damnation, how come CSIA membership dues have ended up being �50??? ",0
"...damn noisy kids doing coke in the park by my house.. I'M TRYING TO SLEEP! ",0
"yup still fluuish..feeling pretty shitty  but im sure ill be beter soon...how are u? &lt;333",0
"I know  I'm on disc 4 of the X Files already...it's not as bad as I initially thought it would be.",0
"ccache: not found ",0
"Did your Curves Lady look like Summer Glau?  Knowing the answer is probably 'no' ",0
"is planning on a great night tonight...too bad Kemal can't come!   I hate jagaaaa!",0
"i'd be willing to try the ants right now, nothing else is working! ",0
"Just looked at me and i never saw some of ur replies so if i ever didn't tweet u back i'm sorry ",0
"I lost my drumsticks (again XD) Where the hell are they! Why can't I just find tmy important stuff x( I'm tooo untidy ",0
"lonely again...have no 1 to talk to..!!!!! ",0
" Boo on tummy aches!",0
"things jst kp gtin worse nd worse, y do thngs lke dis alwys happen 2me ",0
"Lost my phone and a follower...what i do 2 deserve this?? ",0
"I'm nervous....I haven't been for a spinn in over a month...I think I might die or lose a lung ",0
"my stomach hurts  and im hella cold.  extremely bored to.  my room got boring. its boring here to.",0
"Happy Birthday Noah!  one year went by so fast ",0
"without ",0
"i thought when i woke up today my neck would feel better...definately not ",0
"Montana horse slaughter bill 418 becomes law  ",0
"I'm a coward and a pathetic loser. No wonder I can't get any  guy that  I like. ",0
"WOOT FOR TRAVEL PLANS WORKING OUT! but i'm going to miss London so much when i am gone ",0
"Around The House... Waiting For Matty To Get Home, I Miss Her Already! ",0
"I lost my drumsticks (again XD) Where the hell are they! Why can't I just find my important stuff x( I'm tooo untidy ",0
" My younger son - he speaks of how he wishes he had a twin (I actually miscarried his 9 weeks.  Have yet 2 tell him.) ",0
"No flying to Ponca City today for breakfast  Oatmeal at home here I come. Oats FTW !",0
"annoyed that Time Machine doesn't backup iPhoto if it is running - just lost all my pictures for the last two weeks ",0
"and NOOB SHIT!! HAHAHA. omg. i miss jiaoraja i very long never talk to her alreadyyyyyyyyyyyyyyyy  ask her get twitter sia",0
"Why do i wake up so early in every weekend  ?",0
"It's Derby day...23.75 years of life and I've still never been to Churchhill Downs. ",0
"i saw you guys on E.T and i am pumped for new moon. although i still have not seen adventureland.  having fun in canada?",0
"i want 2 follow automatically every1 who follows me ,but how ? tweetlater demo is over  now waat?",0
"Hm, Work at 9-6 with a 30 min lunch break. While my boyfriend is going to test drive and might get a lotus. Thanks responsibility. Ugh ",0
"i'm going to fail this qrter i can feel it... ",0
" same ere. but just dropped a full tub of jellybeans all over the floor. pmsl!",0
"don't think I can make it  hope you get a great turnout for Newt!",0
"Exams... Exams... Exams.. Wrote 2 papers of 80 marks each today. Fingers are paining.. ",0
"catching up on my anoop fix. i miss anoop. ",0
"off to work. ",0
"I hope your revising! Im getting ready for work dreading half 3 ",0
"wish i could be bamboozle. ",0
"had a dream last night i was on daisy of love and i was the 6 person kicked of ",0
"Hopping back in bed to see what's on TV...looking for something funny.  my son doesn't want to get up yet to play with mommy ",0
"ahhh - sunshine...but that means gardening too ",0
"aww, that sucks  ",0
"Mojos on 49th and Dodge went out of business ",0
"listening to sad songs 'cause i' m feeling alone today..  ",0
"This gloomy weather makes me wanna stay in bed ",0
"1st baseball game of the season is rained out. ",0
"soo tired. needs some entertainment though ",0
"Rob. Please say hi. I miss you!!!  ",0
